"url","title","price","product_code","country","company","options","category_code","category_name","image_urls"
"http://1020bag.com/goods/goods_view.php?goodsNo=6271","GE_003 백팩","9,900","6271","중국OEM","GENOVA","['블랙', '브라운', '그레이']","['006', '006001']","['캐주얼', '백팩']","http://1020bag.com/data/goods/19/12/50//6271/register_detail_061.jpg"
"http://1020bag.com/goods/goods_view.php?goodsNo=6270","GE_004 백팩","9,900","6270","중국OEM","GENOVA","['블랙:999개남음', '브라운:999개남음', '그레이:999개남음']","['006', '006001']","['캐주얼', '백팩']","http://1020bag.com/data/goods/19/12/50//6270/register_detail_055.jpg"
"http://1020bag.com/goods/goods_view.php?goodsNo=6269","GE_5643 20인치캐리어/배송비별도","46,200","6269","중국OEM","GENOVA","['블랙--1개남음/일시품절/재입고미정', '실버/일시품절/재입고미정[일시품절]', '실버그레이/일시품절/재입고미정[일시품절]', '골드']","['005']","['여행']","http://1020bag.com/data/goods/19/12/50//6269/register_detail_037.jpg"
"http://1020bag.com/goods/goods_view.php?goodsNo=6268","GE_5644 24인치캐리어/배송비별도","51,700","6268","중국OEM","GENOVA","['블랙', '실버', '골드']","['005', '005001']","['여행', '캐리어']","http://1020bag.com/data/goods/19/12/50//6268/register_detail_025.jpg"
"http://1020bag.com/goods/goods_view.php?goodsNo=6267","GE_5645 28인치캐리어/배송비별도","59,400","6267","중국OEM","GENOVA","['블랙/일시품절/재입고미정[일시품절]', '실버/일시품절/재입고미정[일시품절]', '실버그레이/일시품절/재입고미정[일시품절]', '골드']","['005', '005001']","['여행', '캐리어']","http://1020bag.com/data/goods/19/12/50//6267/register_detail_039.jpg"
"http://1020bag.com/goods/goods_view.php?goodsNo=6266","TRD_CA3588 백팩","8,800","6266","중국OEM","지앤비코리아","['블랙:999개남음', '네이비:999개남음', '그레이:999개남음', '와인:999개남음', '아이보리:999개남음', '블루(군청):999개남음']","['006']","['캐주얼']","http://1020bag.com/data/goods/19/12/50//6266/register_detail_055.jpg"
"http://1020bag.com/goods/goods_view.php?goodsNo=6265","GE_3305 슬링백","23,100","6265","중국OEM","GENOVA","['블랙', '그레이']","['006', '006005']","['캐주얼', '힙색/슬링백']","http://1020bag.com/data/goods/19/12/50//6265/register_detail_070.jpg"
"http://1020bag.com/goods/goods_view.php?goodsNo=6261","KM_K032 크로스백","8,800","6261","중국OEM","케이모드","['블랙/일시품절/재입고미정[일시품절]']","['004', '004003', '004003002']","['남성', '크로스백', '중간사이즈']","http://1020bag.com/data/goods/19/12/49//6261/register_detail_013.jpg"
"http://1020bag.com/goods/goods_view.php?goodsNo=6258","BM_3017 가죽크로스백","34,100","6258","중국OEM","블루마운트","['블랙:999개남음', '브라운:999개남음']","['004', '004003', '004003002']","['남성', '크로스백', '중간사이즈']","http://1020bag.com/data/goods/19/12/49//6258/6258_detail_035.jpg"
"http://1020bag.com/goods/goods_view.php?goodsNo=6257","BM_7512 가죽힙색","25,300","6257","중국OEM","블루마운트","['블랙:999개남음', '브라운:999개남음']","['004', '004004']","['남성', '힙색/슬링백']","http://1020bag.com/data/goods/19/12/49//6257/6257_detail_028.jpg"
"http://1020bag.com/goods/goods_view.php?goodsNo=6256","DF_209 확장백팩","39,600","6256","중국OEM","PILOT","['블랙', '네이비', '그레이']","['005', '005005']","['여행', '여행백팩']","http://1020bag.com/data/goods/19/12/49//6256/modify_detail_013.jpg"
"http://1020bag.com/goods/goods_view.php?goodsNo=6255","DKMI_8535 크로스백","14,300","6255","중국OEM","디비케이","['블랙', '네이비', '브라운', '그레이', '스카이블루']","['003', '003010']","['여성', '여성크로스백']","http://1020bag.com/data/goods/19/12/49//6255/modify_detail_085.jpg"
"http://1020bag.com/goods/goods_view.php?goodsNo=6254","DKMI_8021L 크로스백","17,600","6254","중국OEM","디비케이","['블랙', '네이비', '브라운', '그레이', '스카이블루:999개남음']","['003', '003010']","['여성', '여성크로스백']","http://1020bag.com/data/goods/19/12/49//6254/modify_detail_068.jpg"
"http://1020bag.com/goods/goods_view.php?goodsNo=6253","DKMI_8017S 토드백","19,800","6253","중국OEM","디비케이","['블랙', '네이비', '브라운', '그레이', '스카이블루:999개남음']","['003', '003007']","['여성', '숄더/쇼퍼백']","http://1020bag.com/data/goods/19/12/49//6253/modify_detail_029.jpg"
"http://1020bag.com/goods/goods_view.php?goodsNo=6252","DKMI_8513 숄더백","22,000","6252","중국OEM","디비케이","['블랙', '네이비', '브라운', '그레이', '스카이블루:999개남음']","['003', '003007']","['여성', '숄더/쇼퍼백']","http://1020bag.com/data/goods/19/12/49//6252/modify_detail_028.jpg"
"http://1020bag.com/goods/goods_view.php?goodsNo=6251","DKMI_8534 여성백","22,000","6251","중국OEM","디비케이","['블랙', '네이비', '브라운/일시품절/재입고미정[일시품절]', '그레이', '스카이블루']","['003', '003001']","['여성', '백팩']","http://1020bag.com/data/goods/19/12/49//6251/modify_detail_04.jpg"
"http://1020bag.com/goods/goods_view.php?goodsNo=6250","DKMI_8536 여성백","19,800","6250","중국OEM","디비케이","['블랙', '네이비', '브라운', '그레이', '스카이블루:999개남음']","['003', '003001', '003001003']","['여성', '백팩', '미니백팩']","http://1020bag.com/data/goods/19/12/49//6250/modify_detail_085.jpg"
"http://1020bag.com/goods/goods_view.php?goodsNo=6249","DKMI_8566 크로스백","14,300","6249","중국OEM","디비케이","['블랙', '브라운', '옐로우', '스카이블루']","['003', '003010']","['여성', '여성크로스백']","http://1020bag.com/data/goods/19/12/49//6249/modify_detail_076.jpg"
"http://1020bag.com/goods/goods_view.php?goodsNo=6248","DKMI_8571 크로스백","17,600","6248","중국OEM","디비케이","['블랙', '브라운', '옐로우', '스카이블루']","['003', '003010']","['여성', '여성크로스백']","http://1020bag.com/data/goods/19/12/49//6248/modify_detail_067.jpg"
"http://1020bag.com/goods/goods_view.php?goodsNo=6247","DKMI_8567 크로스백","17,600","6247","중국OEM","디비케이","['블랙', '브라운', '옐로우', '스카이블루']","['003', '003010']","['여성', '여성크로스백']","http://1020bag.com/data/goods/19/12/49//6247/modify_detail_095.jpg"
"http://1020bag.com/goods/goods_view.php?goodsNo=6246","DKMI_8514 숄더백","19,800","6246","중국OEM","디비케이","['블랙', '브라운', '옐로우', '스카이블루']","['003', '003007']","['여성', '숄더/쇼퍼백']","http://1020bag.com/data/goods/19/12/49//6246/modify_detail_026.jpg"
"http://1020bag.com/goods/goods_view.php?goodsNo=6245","DKMI_8558S 백팩","22,000","6245","중국OEM","디비케이","['블랙', '브라운', '옐로우', '스카이블루']","['003', '003001']","['여성', '백팩']","http://1020bag.com/data/goods/19/12/49//6245/modify_detail_084.jpg"
"http://1020bag.com/goods/goods_view.php?goodsNo=6244","DKMI_8556S 백팩","22,000","6244","중국OEM","디비케이","['블랙', '브라운', '옐로우', '스카이블루']","['003', '003007']","['여성', '숄더/쇼퍼백']","http://1020bag.com/data/goods/19/12/49//6244/modify_detail_023.jpg"
"http://1020bag.com/goods/goods_view.php?goodsNo=6243","DKMI_8568 숄더백","22,000","6243","중국OEM","디비케이","['블랙', '브라운', '옐로우', '스카이블루']","['003', '003007']","['여성', '숄더/쇼퍼백']","http://1020bag.com/data/goods/19/12/49//6243/modify_detail_062.jpg"
